SKU,Manufacture,Cost,Weight,Title,Description,Color,Size,Shipping
008008AVMSB,WeatherTech,54.95,16.00,Floor Mats,1st & 2nd Row Footwell Coverage Black Floor Mats,Black,,Canada
008008AVMSBHD,WeatherTech,54.95,18.00,Floor Mats,Heavy Duty 1st & 2nd Row Black Floor Mats,Heavy Duty Black,,Canada
008008AVMSG,WeatherTech,54.95,16.00,Floor Mats,1st & 2nd Row Footwell Coverage Gray Floor Mats,Gray,,Canada
008008AVMST,Dorman,54.95,16.00,Floor Mats,1st & 2nd Row Footwell Coverage Tan Floor Mats,,,Canada
008008AVMTTHSB,Dorman,54.95,16.00,Floor Mats,1st & 2nd Row Full Coverage Black Floor Mats,,,Canada
008008AVMTTHSG,Dorman,54.95,16.00,Floor Mats,1st & 2nd Row Full Coverage Gray Floor Mats,,,Canada
008008AVMTTHST,Dorman,54.95,16.00,Floor Mats,1st & 2nd Row Full Coverage Tan Floor Mats,,,Canada
4400008008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
4400080008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
440008008008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
4400080082,WeatherTech,79.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
4400082008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
440008245,WeatherTech,79.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
4400084008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
44000842,WeatherTech,79.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
44000845008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
440008452,WeatherTech,69.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
4400084545,WeatherTech,59.95,5.00,Floor Liner,3rd Row Black Molded Floor Liner,Black Molded,2x1,Canada
4400086008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
44000862,WeatherTech,69.95,5.00,Floor Liners,2nd Row Black Molded Floor Liners,Black Molded,,Canada
440008645,WeatherTech,79.95,5.00,Floor Liner,3rd Row Black Molded Floor Liner,Black Molded,2x1,Canada
4400087008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
4400088008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
44000882,WeatherTech,69.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
4400089008,WeatherTech,109.95,8.00,Floor Liners,1st Row Black Molded Floor Liners,Black Molded,,Canada
44000892,WeatherTech,89.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
44000894,WeatherTech,79.95,5.00,Floor Liner,2nd Row Black Molded Floor Liner,Black Molded,,Canada
